TF,Cell
ZFX,"""CD14 Mono"""
TAF1,"""CD14 Mono"""
IRAK4,"""CD14 Mono"""
HSF1,"""CD14 Mono"""
CPSF3L,"""CD14 Mono"""
SP1,"""CD14 Mono"""
TDRD3,"""CD14 Mono"""
TBP,"""CD14 Mono"""
SPIN1,"""CD14 Mono"""
NFYA,"""CD14 Mono"""
GRIP1,"""CD14 Mono"""
KAT8,"""CD14 Mono"""
U2AF1,"""CD14 Mono"""
ELF1,"""CD14 Mono"""
DDX21,"""CD14 Mono"""
HDAC1,"""CD14 Mono"""
STAT5B,"""CD14 Mono"""
EMSY,"""CD14 Mono"""
BRD2,"""CD14 Mono"""
CHD1,"""CD14 Mono"""
HMGN1,"""CD14 Mono"""
IRF3,"""CD14 Mono"""
SRSF3,"""CD14 Mono"""
SIX5,"""CD14 Mono"""
VDR,"""CD14 Mono"""
HDAC6,"""CD14 Mono"""
POLR2B,"""CD14 Mono"""
OGT,"""CD14 Mono"""
MED12,"""CD14 Mono"""
MYC,"""CD14 Mono"""
NFYC,"""CD14 Mono"""
BARX2,"""CD14 Mono"""
TFDP1,"""CD14 Mono"""
ZNF75A,"""CD14 Mono"""
E2F4,"""CD14 Mono"""
PMEL,"""CD14 Mono"""
EPC1,"""CD14 Mono"""
ELK3,"""CD14 Mono"""
PRDM11,"""CD14 Mono"""
DCP1A,"""CD14 Mono"""
ZBTB11,"""CD14 Mono"""
JMJD1C,"""CD14 Mono"""
BCL3,"""CD14 Mono"""
NFAT5,"""CD14 Mono"""
ZNF100,"""CD14 Mono"""
RB1,"""CD14 Mono"""
ZBTB16,"""CD14 Mono"""
ZNF711,"""CD14 Mono"""
SKI,"""CD14 Mono"""
NBN,"""CD14 Mono"""
MXD3,"""CD14 Mono"""
DEAF1,"""CD14 Mono"""
ZBED1,"""CD14 Mono"""
HOXA1,"""CD14 Mono"""
STAT1,"""CD14 Mono"""
PHF6,"""CD14 Mono"""
SREBF2,"""CD14 Mono"""
EGR1,"""CD14 Mono"""
ZSCAN22,"""CD14 Mono"""
MYCN,"""CD14 Mono"""
ZNF143,"""CD14 Mono"""
RBBP5,"""CD14 Mono"""
RUNX1T1,"""CD14 Mono"""
KDM3A,"""CD14 Mono"""
E2F1,"""CD14 Mono"""
EZH1,"""CD14 Mono"""
RBCK1,"""CD14 Mono"""
POU3F2,"""CD14 Mono"""
KLF10,"""CD14 Mono"""
TAFII,"""CD14 Mono"""
PHF2,"""CD14 Mono"""
SAP30,"""CD14 Mono"""
CBX8,"""CD14 Mono"""
TAF7,"""CD14 Mono"""
LANA,"""CD14 Mono"""
PAX5,"""CD14 Mono"""
ORC1,"""CD14 Mono"""
XRN2,"""CD14 Mono"""
MCRS1,"""CD14 Mono"""
ZBTB10,"""CD14 Mono"""
NCOR2,"""CD14 Mono"""
MLLT3,"""CD14 Mono"""
NFYB,"""CD14 Mono"""
STAT2,"""CD14 Mono"""
GTF2E2,"""CD14 Mono"""
FGFR1,"""CD14 Mono"""
BRD3,"""CD14 Mono"""
LEF1,"""CD14 Mono"""
ZBTB7B,"""CD14 Mono"""
SREBF1,"""CD14 Mono"""
USF2,"""CD14 Mono"""
SETDB1,"""CD14 Mono"""
RFX2,"""CD14 Mono"""
CD59,"""CD14 Mono"""
CASP8AP2,"""CD14 Mono"""
FOXP1,"""CD14 Mono"""
FAM208A,"""CD14 Mono"""
LYL1,"""CD14 Mono"""
UBTF,"""CD14 Mono"""
ATOH1,"""CD14 Mono"""
VEZF1,"""CD14 Mono"""
RUVBL1,"""CD14 Mono"""
MX2,"""CD14_16 Mono"""
NR4A2,"""CD14_16 Mono"""
ACTB,"""CD14_16 Mono"""
DUSP1,"""CD14_16 Mono"""
NR4A2,"""CD14_16 Mono"""
NFE2L2,"""CD14_16 Mono"""
HLA-C,"""CD14_16 Mono"""
TNFAIP3,"""CD14_16 Mono"""
DUSP1,"""CD14_16 Mono"""
FOSL2,"""CD14_16 Mono"""
ACTB,"""CD14_16 Mono"""
ISG20,"""CD14_16 Mono"""
HLA-B,"""CD14_16 Mono"""
IFI30,"""CD14_16 Mono"""
UBC,"""CD14_16 Mono"""
ZFP36,"""CD14_16 Mono"""
KLF2,"""CD14_16 Mono"""
DUSP1,"""CD14_16 Mono"""
NR3C1,"""CD14_16 Mono"""
SCLT1,"""CD14_16 Mono"""
CD44,"""CD14_16 Mono"""
SIPA1L1,"""CD14_16 Mono"""
KLF4,"""CD14_16 Mono"""
DIP2A,"""CD14_16 Mono"""
TYROBP,"""CD14_16 Mono"""
ZNF331,"""CD14_16 Mono"""
DLEU1,"""CD14_16 Mono"""
NFE2L2,"""CD14_16 Mono"""
TNFAIP3,"""CD14_16 Mono"""
KLF4,"""CD14_16 Mono"""
PLCG2,"""CD14_16 Mono"""
CD55,"""CD14_16 Mono"""
IRF1,"""CD14_Proinflam Mono"""
CEBPA,"""CD14_Proinflam Mono"""
MLLT1,"""CD14_Proinflam Mono"""
CD74,"""CD14_Proinflam Mono"""
PML,"""CD14_Proinflam Mono"""
SPI1,"""CD14_Proinflam Mono"""
KRAB,"""CD14_Proinflam Mono"""
RXRG,"""CD14_Proinflam Mono"""
NBN,"""CD14_Proinflam Mono"""
CREB3,"""CD14_Proinflam Mono"""
NFRKB,"""CD14_Proinflam Mono"""
RUNX1,"""CD14_Proinflam Mono"""
MCM7,"""CD14_Proinflam Mono"""
GLI2,"""CD14_Proinflam Mono"""
NR4A1,"""CD14_Proinflam Mono"""
ZNF318,"""CD14_Proinflam Mono"""
ATF1,"""CD14_Proinflam Mono"""
TAF7,"""CD14_Proinflam Mono"""
NCOA1,"""CD14_Proinflam Mono"""
HDGF,"""CD14_Proinflam Mono"""
STAT2,"""CD14_Proinflam Mono"""
DDX20,"""CD14_Proinflam Mono"""
NFE2,"""CD14_Proinflam Mono"""
HDAC8,"""CD14_Proinflam Mono"""
ZNF740,"""CD14_Proinflam Mono"""
CUX1,"""CD14_Proinflam Mono"""
RFX1,"""CD14_Proinflam Mono"""
GATA1,"""CD14_Proinflam Mono"""
ZSCAN29,"""CD14_Proinflam Mono"""
PYGO2,"""CD14_Proinflam Mono"""
KAT8,"""CD14_Proinflam Mono"""
ZBTB33,"""CD14_Proinflam Mono"""
ZBTB11,"""CD14_Proinflam Mono"""
STAT1,"""CD14_Proinflam Mono"""
FOXK2,"""CD14_Proinflam Mono"""
KDM1A,"""CD14_Proinflam Mono"""
CSDE1,"""CD14_Proinflam Mono"""
KLF13,"""CD14_Proinflam Mono"""
SETDB1,"""CD14_Proinflam Mono"""
CDK8,"""CD14_Proinflam Mono"""
RBPJ,"""CD14_Proinflam Mono"""
NR2C2,"""CD14_Proinflam Mono"""
SUPT5H,"""CD14_Proinflam Mono"""
NELFE,"""CD14_Proinflam Mono"""
EPC1,"""CD14_Proinflam Mono"""
YY1,"""CD14_Proinflam Mono"""
MTA2,"""CD14_Proinflam Mono"""
GTF2B,"""CD14_Proinflam Mono"""
HINFP,"""CD14_Proinflam Mono"""
MEF2D,"""CD14_Proinflam Mono"""
ZKSCAN8,"""CD14_Proinflam Mono"""
ELK1,"""CD14_Proinflam Mono"""
DIDO1,"""CD14_Proinflam Mono"""
NKRF,"""CD14_Proinflam Mono"""
PTTG1,"""CD14_Proinflam Mono"""
SNAPC1,"""CD14_Proinflam Mono"""
GRIP1,"""CD14_Proinflam Mono"""
LEF1,"""CD14_Proinflam Mono"""
ZNF639,"""CD14_Proinflam Mono"""
GTF2A2,"""CD14_Proinflam Mono"""
PTRF,"""CD14_Proinflam Mono"""
KMT2D,"""CD14_Proinflam Mono"""
SMAD5,"""CD14_Proinflam Mono"""
GTF2E2,"""CD14_Proinflam Mono"""
ELK4,"""CD14_Proinflam Mono"""
ZNF644,"""CD14_Proinflam Mono"""
NELFA,"""CD14_Proinflam Mono"""
MED1,"""CD14_Proinflam Mono"""
ETS2,"""CD14_Proinflam Mono"""
GABPA,"""CD14_Proinflam Mono"""
TBL1XR1,"""CD14_Proinflam Mono"""
NFYA,"""CD14_Proinflam Mono"""
TAL1,"""CD14_Proinflam Mono"""
IKZF1,"""CD14_Proinflam Mono"""
IRF9,"""CD14_Proinflam Mono"""
POLR2H,"""CD14_Proinflam Mono"""
ELF2,"""CD14_Proinflam Mono"""
POLR2A,"""CD14_Proinflam Mono"""
BCL6,"""CD14_Proinflam Mono"""
ORC2,"""CD14_Proinflam Mono"""
KDM5A,"""CD14_Proinflam Mono"""
KLF1,"""CD14_Proinflam Mono"""
YBX3,"""CD14_Proinflam Mono"""
GMEB1,"""CD14_Proinflam Mono"""
PBX2,"""CD14_Proinflam Mono"""
FOXJ2,"""CD14_Proinflam Mono"""
ZNF143,"""CD14_Proinflam Mono"""
ZNF24,"""CD14_Proinflam Mono"""
CDK9,"""CD14_Proinflam Mono"""
GMEB2,"""CD14_Proinflam Mono"""
TARDBP,"""CD14_Proinflam Mono"""
MCM3,"""CD14_Proinflam Mono"""
HDAC1,"""CD14_Proinflam Mono"""
KDM4B,"""CD14_Proinflam Mono"""
HLTF,"""CD14_Proinflam Mono"""
BRCA1,"""CD14_Proinflam Mono"""
PHF8,"""CD14_Proinflam Mono"""
ARNTL,"""CD14_Proinflam Mono"""
BCLAF1,"""CD14_Proinflam Mono"""
ZNF589,"""CD14_Proinflam Mono"""
U2AF1,"""CD14_Proinflam Mono"""
ZNF584,"""CD14_Proinflam Mono"""
CDC5L,"""CD14_Proinflam Mono"""
ZNF131,"""CD14_Proinflam Mono"""
NRF1,"""CD14_Proinflam Mono"""
TEAD2,"""CD14_Proinflam Mono"""
ID3,"""CD14_Proinflam Mono"""
HCFC1,"""CD14_Proinflam Mono"""
POLR3A,"""CD14_Proinflam Mono"""
NCOR1,"""CD14_Proinflam Mono"""
RBBP5,"""CD14_Proinflam Mono"""
REL,"""CD14_Proinflam Mono"""
ZBTB40,"""CD14_Proinflam Mono"""
ZNF83,"""CD14_Proinflam Mono"""
BARX2,"""CD14_Proinflam Mono"""
ELL2,"""CD14_Proinflam Mono"""
SREBF2,"""CD14_Proinflam Mono"""
ILK,"""CD14_Proinflam Mono"""
KAT5,"""CD14_Proinflam Mono"""
MIER1,"""CD14_Proinflam Mono"""
SIX5,"""CD14_Proinflam Mono"""
DEAF1,"""CD14_Proinflam Mono"""
ELF1,"""CD14_Proinflam Mono"""
TBP,"""CD14_Proinflam Mono"""
